GEMEENTENAAM,KOSTEN_FARMACIE / AANTAL_VERZEKERDEJAREN
PURMEREND,"292,181083259943"
PUTTEN,"283,52419486542635"
RAALTE,"266,18188907359666"
REIMERSWAAL,"271,8737305889004"
RENKUM,"312,9608429348306"
RENSWOUDE,"223,72885764006188"
REUSEL-DE MIERDEN,"249,42487764868022"
RHEDEN,"295,55557495260183"
RHENEN,"228,4798590507623"
RIDDERKERK,"290,3486329375581"
RIJSSEN-HOLTEN,"274,67280423263406"
RIJSWIJK,"341,5355099397947"
ROERDALEN,"315,6804639076063"
ROERMOND,"311,94710522555573"
ROOSENDAAL,"326,24301983948476"
ROTTERDAM,"304,73496481334087"
ROZENDAAL,"272,2915249848381"
RUCPHEN,"384,77043035370696"
S GRAVENHAGE,"308,14124229150184"
S HERTOGENBOSCH,"276,20599223096735"
SCHAGEN,"240,21024008948544"
SCHERPENZEEL,"240,55114528466063"
SCHIEDAM,"300,1271133643688"
SCHIERMONNIKOOG,"226,16601994676586"
SCHINNEN,"293,49144049615785"
SCHOUWEN-DUIVELAND,"306,8580822660303"
SIMPELVELD,"292,46481986507825"
SINT ANTHONIS,"248,47086646506048"
SINT-MICHIELSGESTEL,"259,61454306131725"
SITTARD-GELEEN,"352,7224828572787"
SLIEDRECHT,"309,54870120243777"
SLUIS,"321,88231575347015"
SMALLINGERLAND,"272,543115655888"
SOEST,"266,55964662219"
SOMEREN,"243,2304956271087"
SON EN BREUGEL,"302,65077570144155"
STADSKANAAL,"340,8676666938359"
STAPHORST,"204,7726964677818"
STEDE BROEC,"243,24517404517303"
STEENBERGEN,"311,86973595399564"
STEENWIJKERLAND,"282,57916368129565"
STEIN,"312,3049196201765"
STICHTSE VECHT,"269,70906613875275"
STRIJEN,"320,45411856108865"
SUDWEST-FRYSLAN,"245,8311106491836"
TEN BOER,"241,70235853286715"
TERNEUZEN,"315,5428522881458"
TERSCHELLING,"235,09087059082603"
TEXEL,"277,867198719638"
TEYLINGEN,"239,44216628719852"
THOLEN,"311,0013968556601"
TIEL,"264,8856478841936"
TILBURG,"287,0086215246415"
TUBBERGEN,"234,92266441123272"
TWENTERAND,"282,04965422170216"
TYNAARLO,"276,3350977403048"
TYTSJERKSTERADIEL,"244,9197008996542"
UDEN,"272,58091152141503"
UITGEEST,"217,7015504173434"
UITHOORN,"261,5572513638376"
URK,"202,19504268340492"
UTRECHT,"235,67415695797655"
UTRECHTSE HEUVELRUG,"277,17024765449906"
VAALS,"377,3422006327782"
VALKENBURG AAN DE GEUL,"332,23714757647195"
VALKENSWAARD,"298,74260185374357"
VEENDAM,"310,9317245519179"
VEENENDAAL,"277,23358085930494"
VEERE,"251,39164211991712"
VELDHOVEN,"262,5919035591579"
VELSEN,"286,9413050019633"
VENLO,"332,286354763133"
VENRAY,"287,0988301228683"
VIANEN,"270,3337710588196"
VLAARDINGEN,"306,2922408204415"
VLIELAND,"240,2998153146754"
VLISSINGEN,"303,9196390889506"
VOERENDAAL,"321,11350422769374"
VOORSCHOTEN,"271,43219593303536"
VOORST,"269,2699675776996"
VUGHT,"262,0989076480321"
WAADHOEKE,"259,4502767262109"
WAALRE,"280,406730016971"
WAALWIJK,"295,02252440602757"
WADDINXVEEN,"279,22360005837226"
WAGENINGEN,"237,5461524069712"
WASSENAAR,"286,79899755568255"
WATERLAND,"284,7321126678001"
WEERT,"317,6412412831704"
WEESP,"257,5702312532876"
WERKENDAM,"258,29953239766644"
WEST MAAS EN WAAL,"252,90616053122264"
WESTERVELD,"287,5587203932723"
WESTERVOORT,"294,9086688548238"
WESTERWOLDE,"334,35558228863977"
WESTLAND,"262,1724393774756"
WESTSTELLINGWERF,"279,4973465209856"
WESTVOORNE,"297,10875833347154"
WIERDEN,"243,26676635485623"
WIJCHEN,"269,26346938150465"
WIJDEMEREN,"278,75156320970757"
WIJK BIJ DUURSTEDE,"245,03075825070445"
WINSUM,"255,1064954170293"
WINTERSWIJK,"293,44626790773765"
WOENSDRECHT,"303,39895937501683"
WOERDEN,"268,70865843955005"
WORMERLAND,"243,86639297579197"
WOUDENBERG,"236,4644944456527"
WOUDRICHEM,"253,97715950681942"
ZAANSTAD,"273,56091082130143"
ZALTBOMMEL,"247,423612776438"
ZANDVOORT,"357,8143045021632"
ZEDERIK,"261,8368883827118"
ZEEWOLDE,"219,58289275626797"
ZEIST,"260,2118661671752"
ZEVENAAR,"275,2064352867028"
ZOETERMEER,"278,4159493378478"
ZOETERWOUDE,"242,29103875117917"
ZUIDHORN,"234,6335850573959"
ZUIDPLAS,"246,28663974543747"
ZUNDERT,"287,9230208887528"
ZUTPHEN,"273,43491498976425"
ZWARTEWATERLAND,"228,43022596515775"
ZWIJNDRECHT,"329,4962898672214"
ZWOLLE,"251,23668764624372"
